Precinct_Name,Split_Name,precinct_splitId,Reg_voters,Ballots,Reporting,Contest_id,Contest_title,Contest_party,Choice_id,Candidate_name,Choice_party,Candidate_Type,Absentee_votes,Early_votes,Election_Votes
08-01,,44,1991,1206,1,68,MAUI: Withdrawal of Signature from Supplemental Petition,,169,YES,,C,341,83,360
08-01,,44,1991,1206,1,69,MAUI: Review of Supplemental Petition,,170,NO,,C,174,51,196
08-01,,44,1991,1206,1,69,MAUI: Review of Supplemental Petition,,171,YES,,C,278,62,299
08-01,,44,1991,1206,1,70,MAUI: Emergency Management Agency,,172,NO,,C,219,51,215
08-01,,44,1991,1206,1,70,MAUI: Emergency Management Agency,,173,YES,,C,243,67,288
08-01,,44,1991,1206,1,71,MAUI: Approval of and Qualifications for Various Directors,,174,NO,,C,130,36,116
08-01,,44,1991,1206,1,71,MAUI: Approval of and Qualifications for Various Directors,,175,YES,,C,342,79,390
08-01,,44,1991,1206,1,72,MAUI: Office of Council Services' Attorneys,,176,NO,,C,184,48,204
08-01,,44,1991,1206,1,72,MAUI: Office of Council Services' Attorneys,,177,YES,,C,259,65,290
08-02,,45,3487,1841,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,28,9,29
08-02,,45,3487,1841,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,39,5,38
08-02,,45,3487,1841,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,175,32,198
08-02,,45,3487,1841,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,547,109,553
08-02,,45,3487,1841,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,11,0,23
08-02,,45,3487,1841,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,0,0,3
08-02,,45,3487,1841,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,10,2,39
08-02,,45,3487,1841,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,672,117,623
08-02,,45,3487,1841,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,10,5,14
08-02,,45,3487,1841,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,111,26,145
08-02,,45,3487,1841,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,689,130,695
08-02,,45,3487,1841,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,107,22,129
08-02,,45,3487,1841,1,21,"State Representative, Dist 8",,61,"(D) SOUKI, Joe",,C,573,107,544
08-02,,45,3487,1841,1,21,"State Representative, Dist 8",,62,"(R) REBOLLEDO, Gilbert (Gil)",,C,210,46,271
08-02,,45,3487,1841,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,285,55,368
08-02,,45,3487,1841,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,385,71,379
08-02,,45,3487,1841,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,279,55,388
08-02,,45,3487,1841,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,381,57,334
08-02,,45,3487,1841,1,49,Councilmember (East Maui),,119,"CARROLL, Robert (Bob)",,C,453,81,447
08-02,,45,3487,1841,1,49,Councilmember (East Maui),,120,"SINENCI, Shane",,C,292,55,335
08-02,,45,3487,1841,1,50,Councilmember (West Maui),,121,"BALINBIN, Ernest Z. Kanamu",,C,237,48,264
08-02,,45,3487,1841,1,50,Councilmember (West Maui),,122,"COCHRAN, Elle",,C,488,87,507
08-02,,45,3487,1841,1,51,Councilmember (Wailuku-Waihee-Waikapu),,123,"ATAY, Alika",,C,356,72,429
08-02,,45,3487,1841,1,51,Councilmember (Wailuku-Waihee-Waikapu),,124,"KANE, Dain P.",,C,449,77,386
08-02,,45,3487,1841,1,52,Councilmember (Kahului),,125,"GUZMAN, Don S.",,C,464,90,557
08-02,,45,3487,1841,1,52,Councilmember (Kahului),,126,"MEDEIROS, Vanessa A.",,C,299,52,234
08-02,,45,3487,1841,1,53,Councilmember (South Maui),,127,"COUCH, Don",,C,401,72,444
08-02,,45,3487,1841,1,53,Councilmember (South Maui),,128,"KING, Kelly Takaya",,C,357,70,341
08-02,,45,3487,1841,1,54,Councilmember (Makawao-Haiku-Paia),,129,"FURTADO, Trinette K.",,C,316,70,369
08-02,,45,3487,1841,1,54,Councilmember (Makawao-Haiku-Paia),,130,"WHITE, Mike",,C,451,71,422
08-02,,45,3487,1841,1,55,Councilmember (Upcountry),,131,"GREIG-NAKASONE, Napua",,C,289,52,425
08-02,,45,3487,1841,1,55,Councilmember (Upcountry),,132,"SUGIMURA, Yuki Lei Kashiwa",,C,490,93,375
08-02,,45,3487,1841,1,56,Councilmember (Lanai),,133,"HOKAMA, Riki",,C,497,81,509
08-02,,45,3487,1841,1,56,Councilmember (Lanai),,134,"JOHNSON, Gabe",,C,243,53,245
08-02,,45,3487,1841,1,57,Councilmember (Molokai),,135,"CRIVELLO, Stacy Helm",,C,425,76,443
08-02,,45,3487,1841,1,57,Councilmember (Molokai),,136,"RAWLINS-FERNANDEZ, Keani",,C,276,50,309
08-02,,45,3487,1841,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,387,78,462
08-02,,45,3487,1841,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,337,61,309
08-02,,45,3487,1841,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,281,46,294
08-02,,45,3487,1841,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,441,87,462
08-02,,45,3487,1841,1,68,MAUI: Withdrawal of Signature from Supplemental Petition,,168,NO,,C,173,29,189
08-02,,45,3487,1841,1,68,MAUI: Withdrawal of Signature from Supplemental Petition,,169,YES,,C,539,106,558
08-02,,45,3487,1841,1,69,MAUI: Review of Supplemental Petition,,170,NO,,C,273,56,282
08-02,,45,3487,1841,1,69,MAUI: Review of Supplemental Petition,,171,YES,,C,449,83,474
08-02,,45,3487,1841,1,70,MAUI: Emergency Management Agency,,172,NO,,C,348,57,331
08-02,,45,3487,1841,1,70,MAUI: Emergency Management Agency,,173,YES,,C,386,82,424
08-02,,45,3487,1841,1,71,MAUI: Approval of and Qualifications for Various Directors,,174,NO,,C,209,29,170
08-02,,45,3487,1841,1,71,MAUI: Approval of and Qualifications for Various Directors,,175,YES,,C,532,115,592
08-02,,45,3487,1841,1,72,MAUI: Office of Council Services' Attorneys,,176,NO,,C,298,45,286
08-02,,45,3487,1841,1,72,MAUI: Office of Council Services' Attorneys,,177,YES,,C,421,88,455
08-03,,46,1621,872,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,8,3,16
08-03,,46,1621,872,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,13,4,14
08-03,,46,1621,872,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,77,30,96
08-03,,46,1621,872,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,273,80,224
08-03,,46,1621,872,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,7,0,7
08-03,,46,1621,872,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,1,0,0
08-03,,46,1621,872,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,6,6,13
08-03,,46,1621,872,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,301,83,248
08-03,,46,1621,872,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,2,2,9
08-03,,46,1621,872,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,57,24,69
08-03,,46,1621,872,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,311,98,270
08-03,,46,1621,872,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,42,16,72
08-03,,46,1621,872,1,21,"State Representative, Dist 8",,61,"(D) SOUKI, Joe",,C,272,90,245
08-03,,46,1621,872,1,21,"State Representative, Dist 8",,62,"(R) REBOLLEDO, Gilbert (Gil)",,C,94,21,96
08-03,,46,1621,872,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,146,39,150
08-03,,46,1621,872,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,154,57,149
08-03,,46,1621,872,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,105,52,157
08-03,,46,1621,872,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,190,40,128
08-03,,46,1621,872,1,49,Councilmember (East Maui),,119,"CARROLL, Robert (Bob)",,C,237,56,209
08-03,,46,1621,872,1,49,Councilmember (East Maui),,120,"SINENCI, Shane",,C,108,47,109
08-03,,46,1621,872,1,50,Councilmember (West Maui),,121,"BALINBIN, Ernest Z. Kanamu",,C,100,23,110
08-03,,46,1621,872,1,50,Councilmember (West Maui),,122,"COCHRAN, Elle",,C,226,80,202
08-03,,46,1621,872,1,51,Councilmember (Wailuku-Waihee-Waikapu),,123,"ATAY, Alika",,C,134,51,180
08-03,,46,1621,872,1,51,Councilmember (Wailuku-Waihee-Waikapu),,124,"KANE, Dain P.",,C,229,60,155
08-03,,46,1621,872,1,52,Councilmember (Kahului),,125,"GUZMAN, Don S.",,C,223,66,219
08-03,,46,1621,872,1,52,Councilmember (Kahului),,126,"MEDEIROS, Vanessa A.",,C,113,42,114
08-03,,46,1621,872,1,53,Councilmember (South Maui),,127,"COUCH, Don",,C,181,52,196
08-03,,46,1621,872,1,53,Councilmember (South Maui),,128,"KING, Kelly Takaya",,C,162,57,122
08-03,,46,1621,872,1,54,Councilmember (Makawao-Haiku-Paia),,129,"FURTADO, Trinette K.",,C,107,45,142
08-03,,46,1621,872,1,54,Councilmember (Makawao-Haiku-Paia),,130,"WHITE, Mike",,C,235,61,179
08-03,,46,1621,872,1,55,Councilmember (Upcountry),,131,"GREIG-NAKASONE, Napua",,C,102,39,144
08-03,,46,1621,872,1,55,Councilmember (Upcountry),,132,"SUGIMURA, Yuki Lei Kashiwa",,C,247,66,180
08-03,,46,1621,872,1,56,Councilmember (Lanai),,133,"HOKAMA, Riki",,C,240,59,182
08-03,,46,1621,872,1,56,Councilmember (Lanai),,134,"JOHNSON, Gabe",,C,95,42,112
08-03,,46,1621,872,1,57,Councilmember (Molokai),,135,"CRIVELLO, Stacy Helm",,C,228,57,166
08-03,,46,1621,872,1,57,Councilmember (Molokai),,136,"RAWLINS-FERNANDEZ, Keani",,C,88,38,122
08-03,,46,1621,872,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,135,51,181
08-03,,46,1621,872,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,189,55,128
08-03,,46,1621,872,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,116,41,108
08-03,,46,1621,872,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,204,68,188
08-03,,46,1621,872,1,68,MAUI: Withdrawal of Signature from Supplemental Petition,,168,NO,,C,71,27,69
08-03,,46,1621,872,1,68,MAUI: Withdrawal of Signature from Supplemental Petition,,169,YES,,C,249,78,227
08-03,,46,1621,872,1,69,MAUI: Review of Supplemental Petition,,170,NO,,C,112,30,110
08-03,,46,1621,872,1,69,MAUI: Review of Supplemental Petition,,171,YES,,C,213,75,189
08-03,,46,1621,872,1,70,MAUI: Emergency Management Agency,,172,NO,,C,143,39,132
08-03,,46,1621,872,1,70,MAUI: Emergency Management Agency,,173,YES,,C,195,64,173
08-03,,46,1621,872,1,71,MAUI: Approval of and Qualifications for Various Directors,,174,NO,,C,102,23,84
08-03,,46,1621,872,1,71,MAUI: Approval of and Qualifications for Various Directors,,175,YES,,C,242,82,221
08-03,,46,1621,872,1,72,MAUI: Office of Council Services' Attorneys,,176,NO,,C,134,37,113
08-03,,46,1621,872,1,72,MAUI: Office of Council Services' Attorneys,,177,YES,,C,189,68,177
08-04,,47,1999,1049,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,20,8,29
08-04,,47,1999,1049,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,20,1,17
08-04,,47,1999,1049,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,95,50,88
08-04,,47,1999,1049,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,353,89,227
08-04,,47,1999,1049,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,8,1,10
08-04,,47,1999,1049,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,0,1,4
08-04,,47,1999,1049,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,6,4,19
08-04,,47,1999,1049,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,401,109,272
08-04,,47,1999,1049,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,8,5,8
08-04,,47,1999,1049,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,73,25,52
08-04,,47,1999,1049,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,411,113,303
08-04,,47,1999,1049,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,66,27,64
08-04,,47,1999,1049,1,21,"State Representative, Dist 8",,61,"(D) SOUKI, Joe",,C,361,96,260
08-04,,47,1999,1049,1,21,"State Representative, Dist 8",,62,"(R) REBOLLEDO, Gilbert (Gil)",,C,103,36,96
08-04,,47,1999,1049,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,150,53,118
08-04,,47,1999,1049,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,231,61,193
08-04,,47,1999,1049,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,171,53,135
08-04,,47,1999,1049,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,205,61,156
08-04,,47,1999,1049,1,49,Councilmember (East Maui),,119,"CARROLL, Robert (Bob)",,C,298,77,177
08-04,,47,1999,1049,1,49,Councilmember (East Maui),,120,"SINENCI, Shane",,C,157,53,161
08-04,,47,1999,1049,1,50,Councilmember (West Maui),,121,"BALINBIN, Ernest Z. Kanamu",,C,131,31,91
08-04,,47,1999,1049,1,50,Councilmember (West Maui),,122,"COCHRAN, Elle",,C,303,98,238
08-04,,47,1999,1049,1,51,Councilmember (Wailuku-Waihee-Waikapu),,123,"ATAY, Alika",,C,191,76,222
08-04,,47,1999,1049,1,51,Councilmember (Wailuku-Waihee-Waikapu),,124,"KANE, Dain P.",,C,296,70,135
08-04,,47,1999,1049,1,52,Councilmember (Kahului),,125,"GUZMAN, Don S.",,C,296,83,216
08-04,,47,1999,1049,1,52,Councilmember (Kahului),,126,"MEDEIROS, Vanessa A.",,C,151,51,123
08-04,,47,1999,1049,1,53,Councilmember (South Maui),,127,"COUCH, Don",,C,238,58,156
08-04,,47,1999,1049,1,53,Councilmember (South Maui),,128,"KING, Kelly Takaya",,C,232,79,178
08-04,,47,1999,1049,1,54,Councilmember (Makawao-Haiku-Paia),,129,"FURTADO, Trinette K.",,C,183,68,186
08-04,,47,1999,1049,1,54,Councilmember (Makawao-Haiku-Paia),,130,"WHITE, Mike",,C,286,69,152
08-04,,47,1999,1049,1,55,Councilmember (Upcountry),,131,"GREIG-NAKASONE, Napua",,C,186,67,174
08-04,,47,1999,1049,1,55,Councilmember (Upcountry),,132,"SUGIMURA, Yuki Lei Kashiwa",,C,292,70,173
08-04,,47,1999,1049,1,56,Councilmember (Lanai),,133,"HOKAMA, Riki",,C,310,64,193
08-04,,47,1999,1049,1,56,Councilmember (Lanai),,134,"JOHNSON, Gabe",,C,138,65,129
08-04,,47,1999,1049,1,57,Councilmember (Molokai),,135,"CRIVELLO, Stacy Helm",,C,280,70,176
08-04,,47,1999,1049,1,57,Councilmember (Molokai),,136,"RAWLINS-FERNANDEZ, Keani",,C,147,59,138
08-04,,47,1999,1049,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,212,61,182
08-04,,47,1999,1049,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,236,72,160
08-04,,47,1999,1049,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,167,39,116
08-04,,47,1999,1049,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,273,92,213
08-04,,47,1999,1049,1,68,MAUI: Withdrawal of Signature from Supplemental Petition,,168,NO,,C,103,20,76
08-04,,47,1999,1049,1,68,MAUI: Withdrawal of Signature from Supplemental Petition,,169,YES,,C,337,107,247
08-04,,47,1999,1049,1,69,MAUI: Review of Supplemental Petition,,170,NO,,C,178,48,114
08-04,,47,1999,1049,1,69,MAUI: Review of Supplemental Petition,,171,YES,,C,273,83,213
08-04,,47,1999,1049,1,70,MAUI: Emergency Management Agency,,172,NO,,C,201,56,129
08-04,,47,1999,1049,1,70,MAUI: Emergency Management Agency,,173,YES,,C,250,78,210
08-04,,47,1999,1049,1,71,MAUI: Approval of and Qualifications for Various Directors,,174,NO,,C,139,28,69
08-04,,47,1999,1049,1,71,MAUI: Approval of and Qualifications for Various Directors,,175,YES,,C,319,111,266
08-04,,47,1999,1049,1,72,MAUI: Office of Council Services' Attorneys,,176,NO,,C,182,48,104
08-04,,47,1999,1049,1,72,MAUI: Office of Council Services' Attorneys,,177,YES,,C,250,83,217
08-05,,48,4238,2935,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,19,7,27
08-05,,48,4238,2935,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,49,11,32
08-05,,48,4238,2935,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,355,98,304
08-05,,48,4238,2935,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,1098,230,616
08-05,,48,4238,2935,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,12,1,13
08-05,,48,4238,2935,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,4,1,2
08-05,,48,4238,2935,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,17,6,21
08-05,,48,4238,2935,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,1184,249,699
08-05,,48,4238,2935,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,19,5,16
08-05,,48,4238,2935,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,261,73,209
08-05,,48,4238,2935,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,1231,271,783
08-05,,48,4238,2935,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,227,63,162
08-05,,48,4238,2935,1,21,"State Representative, Dist 8",,61,"(D) SOUKI, Joe",,C,1118,230,642
08-05,,48,4238,2935,1,21,"State Representative, Dist 8",,62,"(R) REBOLLEDO, Gilbert (Gil)",,C,320,99,286
08-05,,48,4238,2935,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,505,109,375
08-05,,48,4238,2935,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,524,145,371
08-05,,48,4238,2935,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,416,113,372
08-05,,48,4238,2935,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,570,120,337
08-05,,48,4238,2935,1,49,Councilmember (East Maui),,119,"CARROLL, Robert (Bob)",,C,948,188,521
08-05,,48,4238,2935,1,49,Councilmember (East Maui),,120,"SINENCI, Shane",,C,394,119,309
08-05,,48,4238,2935,1,50,Councilmember (West Maui),,121,"BALINBIN, Ernest Z. Kanamu",,C,442,97,280
08-05,,48,4238,2935,1,50,Councilmember (West Maui),,122,"COCHRAN, Elle",,C,857,200,561
08-05,,48,4238,2935,1,51,Councilmember (Wailuku-Waihee-Waikapu),,123,"ATAY, Alika",,C,510,142,421
08-05,,48,4238,2935,1,51,Councilmember (Wailuku-Waihee-Waikapu),,124,"KANE, Dain P.",,C,969,186,507
08-05,,48,4238,2935,1,52,Councilmember (Kahului),,125,"GUZMAN, Don S.",,C,890,201,558
08-05,,48,4238,2935,1,52,Councilmember (Kahului),,126,"MEDEIROS, Vanessa A.",,C,469,108,301
08-05,,48,4238,2935,1,53,Councilmember (South Maui),,127,"COUCH, Don",,C,721,147,481
08-05,,48,4238,2935,1,53,Councilmember (South Maui),,128,"KING, Kelly Takaya",,C,661,171,382
08-05,,48,4238,2935,1,54,Councilmember (Makawao-Haiku-Paia),,129,"FURTADO, Trinette K.",,C,404,126,330
08-05,,48,4238,2935,1,54,Councilmember (Makawao-Haiku-Paia),,130,"WHITE, Mike",,C,1011,190,534
08-05,,48,4238,2935,1,55,Councilmember (Upcountry),,131,"GREIG-NAKASONE, Napua",,C,437,122,355
08-05,,48,4238,2935,1,55,Councilmember (Upcountry),,132,"SUGIMURA, Yuki Lei Kashiwa",,C,1011,190,514
08-05,,48,4238,2935,1,56,Councilmember (Lanai),,133,"HOKAMA, Riki",,C,855,160,473
08-05,,48,4238,2935,1,56,Councilmember (Lanai),,134,"JOHNSON, Gabe",,C,455,131,314
08-05,,48,4238,2935,1,57,Councilmember (Molokai),,135,"CRIVELLO, Stacy Helm",,C,813,169,448
08-05,,48,4238,2935,1,57,Councilmember (Molokai),,136,"RAWLINS-FERNANDEZ, Keani",,C,381,122,291
08-05,,48,4238,2935,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,539,123,411
08-05,,48,4238,2935,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,784,193,458
08-05,,48,4238,2935,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,465,107,302
08-05,,48,4238,2935,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,811,197,527
08-05,,48,4238,2935,1,68,MAUI: Withdrawal of Signature from Supplemental Petition,,168,NO,,C,249,51,192
08-05,,48,4238,2935,1,68,MAUI: Withdrawal of Signature from Supplemental Petition,,169,YES,,C,1030,249,642
08-05,,48,4238,2935,1,69,MAUI: Review of Supplemental Petition,,170,NO,,C,525,105,323
08-05,,48,4238,2935,1,69,MAUI: Review of Supplemental Petition,,171,YES,,C,776,197,523
08-05,,48,4238,2935,1,70,MAUI: Emergency Management Agency,,172,NO,,C,516,96,316
08-05,,48,4238,2935,1,70,MAUI: Emergency Management Agency,,173,YES,,C,816,220,546
08-05,,48,4238,2935,1,71,MAUI: Approval of and Qualifications for Various Directors,,174,NO,,C,363,85,215
08-05,,48,4238,2935,1,71,MAUI: Approval of and Qualifications for Various Directors,,175,YES,,C,1007,231,653
08-05,,48,4238,2935,1,72,MAUI: Office of Council Services' Attorneys,,176,NO,,C,498,115,320
08-05,,48,4238,2935,1,72,MAUI: Office of Council Services' Attorneys,,177,YES,,C,768,193,513
08-06,,49,1761,1159,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,13,5,22
08-06,,49,1761,1159,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,31,5,27
08-06,,49,1761,1159,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,98,33,149
08-06,,49,1761,1159,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,346,94,289
08-06,,49,1761,1159,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,6,0,7
08-06,,49,1761,1159,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,3,0,1
08-06,,49,1761,1159,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,6,2,16
08-06,,49,1761,1159,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,397,101,320
08-06,,49,1761,1159,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,6,0,8
08-06,,49,1761,1159,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,85,30,122
08-06,,49,1761,1159,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,410,108,376
08-06,,49,1761,1159,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,76,27,100
08-06,,49,1761,1159,1,21,"State Representative, Dist 8",,61,"(D) SOUKI, Joe",,C,362,100,304
08-06,,49,1761,1159,1,21,"State Representative, Dist 8",,62,"(R) REBOLLEDO, Gilbert (Gil)",,C,117,29,152
08-06,,49,1761,1159,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,180,54,188
08-06,,49,1761,1159,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,199,59,183
08-06,,49,1761,1159,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,174,46,212
08-06,,49,1761,1159,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,195,63,143
08-06,,49,1761,1159,1,49,Councilmember (East Maui),,119,"CARROLL, Robert (Bob)",,C,312,75,248
08-06,,49,1761,1159,1,49,Councilmember (East Maui),,120,"SINENCI, Shane",,C,134,44,178
08-06,,49,1761,1159,1,50,Councilmember (West Maui),,121,"BALINBIN, Ernest Z. Kanamu",,C,149,41,125
08-06,,49,1761,1159,1,50,Councilmember (West Maui),,122,"COCHRAN, Elle",,C,291,81,298
08-06,,49,1761,1159,1,51,Councilmember (Wailuku-Waihee-Waikapu),,123,"ATAY, Alika",,C,165,68,232
08-06,,49,1761,1159,1,51,Councilmember (Wailuku-Waihee-Waikapu),,124,"KANE, Dain P.",,C,324,65,230
08-06,,49,1761,1159,1,52,Councilmember (Kahului),,125,"GUZMAN, Don S.",,C,317,78,298
08-06,,49,1761,1159,1,52,Councilmember (Kahului),,126,"MEDEIROS, Vanessa A.",,C,139,44,138
08-06,,49,1761,1159,1,53,Councilmember (South Maui),,127,"COUCH, Don",,C,238,62,228
08-06,,49,1761,1159,1,53,Councilmember (South Maui),,128,"KING, Kelly Takaya",,C,225,63,213
08-06,,49,1761,1159,1,54,Councilmember (Makawao-Haiku-Paia),,129,"FURTADO, Trinette K.",,C,147,61,196
08-06,,49,1761,1159,1,54,Councilmember (Makawao-Haiku-Paia),,130,"WHITE, Mike",,C,316,64,240
08-06,,49,1761,1159,1,55,Councilmember (Upcountry),,131,"GREIG-NAKASONE, Napua",,C,149,59,196
08-06,,49,1761,1159,1,55,Councilmember (Upcountry),,132,"SUGIMURA, Yuki Lei Kashiwa",,C,319,64,240
08-06,,49,1761,1159,1,56,Councilmember (Lanai),,133,"HOKAMA, Riki",,C,287,67,238
08-06,,49,1761,1159,1,56,Councilmember (Lanai),,134,"JOHNSON, Gabe",,C,140,54,161
08-06,,49,1761,1159,1,57,Councilmember (Molokai),,135,"CRIVELLO, Stacy Helm",,C,275,72,228
08-06,,49,1761,1159,1,57,Councilmember (Molokai),,136,"RAWLINS-FERNANDEZ, Keani",,C,126,44,174
08-06,,49,1761,1159,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,165,57,218
08-06,,49,1761,1159,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,259,70,204
08-06,,49,1761,1159,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,130,53,157
08-06,,49,1761,1159,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,272,67,245
08-06,,49,1761,1159,1,68,MAUI: Withdrawal of Signature from Supplemental Petition,,168,NO,,C,83,19,104
